x	y	z
0.000000	0.001143	0.410000
0.000801	0.001167	0.410000
0.001602	0.001192	0.409998
0.002402	0.001217	0.409996
0.003203	0.001243	0.409994
0.004004	0.001269	0.409990
0.004805	0.001295	0.409986
0.005606	0.001322	0.409980
0.006406	0.001350	0.409974
0.007207	0.001378	0.409968
0.008008	0.001406	0.409960
0.008809	0.001435	0.409952
0.009610	0.001465	0.409942
0.010410	0.001495	0.409932
0.011211	0.001526	0.409921
0.012012	0.001557	0.409910
0.012813	0.001589	0.409897
0.013614	0.001622	0.409884
0.014414	0.001655	0.409870
0.015215	0.001689	0.409855
0.016016	0.001723	0.409840
0.016817	0.001758	0.409823
0.017618	0.001793	0.409806
0.018418	0.001830	0.409788
0.019219	0.001867	0.409769
0.020020	0.001904	0.409749
0.020821	0.001943	0.409729
0.021622	0.001982	0.409708
0.022422	0.002021	0.409686
0.023223	0.002062	0.409663
0.024024	0.002103	0.409639
0.024825	0.002144	0.409615
0.025626	0.002187	0.409590
0.026426	0.002230	0.409564
0.027227	0.002275	0.409537
0.028028	0.002319	0.409509
0.028829	0.002365	0.409481
0.029630	0.002412	0.409451
0.030430	0.002459	0.409421
0.031231	0.002507	0.409390
0.032032	0.002556	0.409359
0.032833	0.002606	0.409326
0.033634	0.002657	0.409293
0.034434	0.002708	0.409259
0.035235	0.002761	0.409224
0.036036	0.002814	0.409188
0.036837	0.002868	0.409152
0.037638	0.002924	0.409115
0.038438	0.002980	0.409077
0.039239	0.003037	0.409038
0.040040	0.003095	0.408998
0.040841	0.003154	0.408958
0.041642	0.003214	0.408916
0.042442	0.003275	0.408874
0.043243	0.003338	0.408831
0.044044	0.003401	0.408788
0.044845	0.003465	0.408743
0.045646	0.003530	0.408698
0.046446	0.003597	0.408652
0.047247	0.003664	0.408605
0.048048	0.003733	0.408557
0.048849	0.003803	0.408509
0.049650	0.003874	0.408459
0.050450	0.003946	0.408409
0.051251	0.004019	0.408358
0.052052	0.004094	0.408307
0.052853	0.004170	0.408254
0.053654	0.004247	0.408201
0.054454	0.004325	0.408147
0.055255	0.004404	0.408092
0.056056	0.004485	0.408036
0.056857	0.004567	0.407980
0.057658	0.004650	0.407922
0.058458	0.004735	0.407864
0.059259	0.004821	0.407805
0.060060	0.004909	0.407745
0.060861	0.004998	0.407685
0.061662	0.005088	0.407624
0.062462	0.005180	0.407562
0.063263	0.005273	0.407499
0.064064	0.005367	0.407435
0.064865	0.005463	0.407370
0.065666	0.005561	0.407305
0.066466	0.005660	0.407239
0.067267	0.005761	0.407172
0.068068	0.005863	0.407104
0.068869	0.005967	0.407036
0.069670	0.006072	0.406966
0.070470	0.006179	0.406896
0.071271	0.006288	0.406825
0.072072	0.006398	0.406754
0.072873	0.006510	0.406681
0.073674	0.006624	0.406608
0.074474	0.006739	0.406533
0.075275	0.006856	0.406459
0.076076	0.006975	0.406383
0.076877	0.007096	0.406306
0.077678	0.007218	0.406229
0.078478	0.007343	0.406151
0.079279	0.007469	0.406072
0.080080	0.007597	0.405992
0.080881	0.007727	0.405911
0.081682	0.007859	0.405830
0.082482	0.007992	0.405748
0.083283	0.008128	0.405665
0.084084	0.008266	0.405581
0.084885	0.008406	0.405497
0.085686	0.008547	0.405411
0.086486	0.008691	0.405325
0.087287	0.008837	0.405238
0.088088	0.008985	0.405150
0.088889	0.009135	0.405062
0.089690	0.009287	0.404972
0.090490	0.009442	0.404882
0.091291	0.009598	0.404791
0.092092	0.009757	0.404699
0.092893	0.009918	0.404607
0.093694	0.010082	0.404513
0.094494	0.010247	0.404419
0.095295	0.010415	0.404324
0.096096	0.010585	0.404228
0.096897	0.010758	0.404132
0.097698	0.010933	0.404034
0.098498	0.011110	0.403936
0.099299	0.011290	0.403837
0.100100	0.011473	0.403737
0.100901	0.011657	0.403637
0.101702	0.011845	0.403535
0.102503	0.012035	0.403433
0.103303	0.012227	0.403330
0.104104	0.012422	0.403226
0.104905	0.012620	0.403122
0.105706	0.012820	0.403016
0.106507	0.013023	0.402910
0.107307	0.013229	0.402803
0.108108	0.013437	0.402695
0.108909	0.013648	0.402587
0.109710	0.013862	0.402477
0.110511	0.014078	0.402367
0.111311	0.014298	0.402256
0.112112	0.014520	0.402144
0.112913	0.014746	0.402032
0.113714	0.014974	0.401918
0.114515	0.015205	0.401804
0.115315	0.015439	0.401689
0.116116	0.015676	0.401573
0.116917	0.015916	0.401457
0.117718	0.016159	0.401339
0.118519	0.016405	0.401221
0.119319	0.016654	0.401102
0.120120	0.016907	0.400982
0.120921	0.017162	0.400861
0.121722	0.017421	0.400740
0.122523	0.017683	0.400618
0.123323	0.017948	0.400495
0.124124	0.018216	0.400371
0.124925	0.018488	0.400246
0.125726	0.018763	0.400121
0.126527	0.019041	0.399994
0.127327	0.019323	0.399867
0.128128	0.019608	0.399739
0.128929	0.019897	0.399611
0.129730	0.020189	0.399481
0.130531	0.020484	0.399351
0.131331	0.020783	0.399220
0.132132	0.021086	0.399088
0.132933	0.021392	0.398956
0.133734	0.021702	0.398822
0.134535	0.022015	0.398688
0.135335	0.022332	0.398553
0.136136	0.022653	0.398417
0.136937	0.022977	0.398280
0.137738	0.023305	0.398143
0.138539	0.023637	0.398004
0.139339	0.023973	0.397865
0.140140	0.024312	0.397725
0.140941	0.024655	0.397585
0.141742	0.025003	0.397443
0.142543	0.025354	0.397301
0.143343	0.025709	0.397158
0.144144	0.026068	0.397014
0.144945	0.026430	0.396869
0.145746	0.026797	0.396724
0.146547	0.027168	0.396578
0.147347	0.027543	0.396430
