x	y
0.800000	0.010052
0.800200	0.010144
0.800400	0.010237
0.800601	0.010331
0.800801	0.010425
0.801001	0.010521
0.801201	0.010617
0.801401	0.010714
0.801602	0.010812
0.801802	0.010911
0.802002	0.011011
0.802202	0.011112
0.802402	0.011213
0.802603	0.011316
0.802803	0.011419
0.803003	0.011524
0.803203	0.011629
0.803403	0.011736
0.803604	0.011843
0.803804	0.011951
0.804004	0.012060
0.804204	0.012171
0.804404	0.012282
0.804605	0.012394
0.804805	0.012507
0.805005	0.012622
0.805205	0.012737
0.805405	0.012853
0.805606	0.012971
0.805806	0.013089
0.806006	0.013209
0.806206	0.013329
0.806406	0.013451
0.806607	0.013574
0.806807	0.013698
0.807007	0.013823
0.807207	0.013949
0.807407	0.014076
0.807608	0.014204
0.807808	0.014334
0.808008	0.014465
0.808208	0.014596
0.808408	0.014730
0.808609	0.014864
0.808809	0.014999
0.809009	0.015136
0.809209	0.015274
0.809409	0.015413
0.809610	0.015553
0.809810	0.015695
0.810010	0.015838
0.810210	0.015982
0.810410	0.016128
0.810611	0.016275
0.810811	0.016423
0.811011	0.016572
0.811211	0.016723
0.811411	0.016875
0.811612	0.017028
0.811812	0.017183
0.812012	0.017340
0.812212	0.017497
0.812412	0.017656
0.812613	0.017817
0.812813	0.017979
0.813013	0.018142
0.813213	0.018307
0.813413	0.018473
0.813614	0.018641
0.813814	0.018810
0.814014	0.018981
0.814214	0.019153
0.814414	0.019327
0.814615	0.019502
0.814815	0.019679
0.815015	0.019858
0.815215	0.020038
0.815415	0.020219
0.815616	0.020403
0.815816	0.020588
0.816016	0.020774
0.816216	0.020962
0.816416	0.021152
0.816617	0.021344
0.816817	0.021537
0.817017	0.021732
0.817217	0.021929
0.817417	0.022127
0.817618	0.022327
0.817818	0.022529
0.818018	0.022733
0.818218	0.022939
0.818418	0.023146
0.818619	0.023355
0.818819	0.023566
0.819019	0.023779
0.819219	0.023994
0.819419	0.024211
0.819620	0.024429
0.819820	0.024650
0.820020	0.024872
0.820220	0.025096
0.820420	0.025323
0.820621	0.025551
0.820821	0.025782
0.821021	0.026014
0.821221	0.026248
0.821421	0.026485
0.821622	0.026723
0.821822	0.026964
0.822022	0.027207
0.822222	0.027452
0.822422	0.027699
0.822623	0.027948
0.822823	0.028199
0.823023	0.028453
0.823223	0.028708
0.823423	0.028966
0.823624	0.029227
0.823824	0.029489
0.824024	0.029754
0.824224	0.030021
0.824424	0.030290
0.824625	0.030562
0.824825	0.030836
0.825025	0.031113
0.825225	0.031392
0.825425	0.031673
0.825626	0.031957
0.825826	0.032243
0.826026	0.032532
0.826226	0.032823
0.826426	0.033117
0.826627	0.033413
0.826827	0.033712
0.827027	0.034013
0.827227	0.034317
0.827427	0.034624
0.827628	0.034933
0.827828	0.035245
0.828028	0.035559
0.828228	0.035877
0.828428	0.036197
0.828629	0.036520
0.828829	0.036845
0.829029	0.037173
0.829229	0.037505
0.829429	0.037839
0.829630	0.038175
0.829830	0.038515
0.830030	0.038858
0.830230	0.039203
0.830430	0.039552
0.830631	0.039903
0.830831	0.040258
0.831031	0.040615
0.831231	0.040976
0.831431	0.041339
0.831632	0.041706
0.831832	0.042076
0.832032	0.042449
0.832232	0.042825
0.832432	0.043204
0.832633	0.043586
0.832833	0.043972
0.833033	0.044361
0.833233	0.044753
0.833433	0.045149
0.833634	0.045548
0.833834	0.045950
0.834034	0.046356
0.834234	0.046765
0.834434	0.047177
0.834635	0.047593
0.834835	0.048012
