x	y	z
0.000000	0.070246	1.050000
0.000801	0.070420	1.046654
0.001602	0.070595	1.043318
0.002402	0.070774	1.039995
0.003203	0.070954	1.036682
0.004004	0.071137	1.033381
0.004805	0.071323	1.030091
0.005606	0.071511	1.026812
0.006406	0.071702	1.023544
0.007207	0.071895	1.020287
0.008008	0.072090	1.017041
0.008809	0.072289	1.013807
0.009610	0.072489	1.010583
0.010410	0.072693	1.007370
0.011211	0.072899	1.004168
0.012012	0.073108	1.000977
0.012813	0.073319	0.997796
0.013614	0.073533	0.994627
0.014414	0.073750	0.991468
0.015215	0.073970	0.988320
0.016016	0.074193	0.985183
0.016817	0.074418	0.982056
0.017618	0.074646	0.978940
0.018418	0.074878	0.975834
0.019219	0.075112	0.972739
0.020020	0.075349	0.969654
0.020821	0.075588	0.966580
0.021622	0.075831	0.963516
0.022422	0.076077	0.960463
0.023223	0.076326	0.957420
0.024024	0.076578	0.954387
0.024825	0.076834	0.951364
0.025626	0.077092	0.948352
0.026426	0.077353	0.945350
0.027227	0.077618	0.942358
0.028028	0.077886	0.939376
0.028829	0.078157	0.936405
0.029630	0.078431	0.933443
0.030430	0.078708	0.930492
0.031231	0.078989	0.927550
0.032032	0.079273	0.924619
0.032833	0.079561	0.921697
0.033634	0.079852	0.918785
0.034434	0.080146	0.915883
0.035235	0.080444	0.912991
0.036036	0.080745	0.910109
0.036837	0.081049	0.907236
0.037638	0.081358	0.904373
0.038438	0.081669	0.901520
0.039239	0.081984	0.898677
0.040040	0.082303	0.895843
0.040841	0.082626	0.893019
0.041642	0.082952	0.890204
0.042442	0.083281	0.887399
0.043243	0.083615	0.884603
0.044044	0.083952	0.881817
0.044845	0.084293	0.879040
0.045646	0.084637	0.876273
0.046446	0.084986	0.873515
0.047247	0.085338	0.870766
0.048048	0.085694	0.868027
0.048849	0.086054	0.865297
0.049650	0.086418	0.862576
0.050450	0.086786	0.859864
0.051251	0.087157	0.857162
0.052052	0.087533	0.854469
0.052853	0.087913	0.851784
0.053654	0.088296	0.849109
0.054454	0.088684	0.846443
0.055255	0.089076	0.843786
0.056056	0.089471	0.841138
0.056857	0.089871	0.838499
0.057658	0.090275	0.835869
0.058458	0.090684	0.833247
0.059259	0.091096	0.830635
0.060060	0.091512	0.828031
0.060861	0.091933	0.825437
0.061662	0.092358	0.822851
0.062462	0.092788	0.820273
0.063263	0.093221	0.817705
0.064064	0.093659	0.815145
0.064865	0.094101	0.812594
0.065666	0.094548	0.810051
0.066466	0.094999	0.807517
0.067267	0.095454	0.804992
0.068068	0.095914	0.802475
0.068869	0.096378	0.799967
0.069670	0.096847	0.797467
0.070470	0.097320	0.794976
0.071271	0.097797	0.792493
0.072072	0.098280	0.790018
0.072873	0.098766	0.787552
0.073674	0.099257	0.785094
0.074474	0.099753	0.782644
0.075275	0.100254	0.780203
0.076076	0.100759	0.777770
0.076877	0.101268	0.775345
0.077678	0.101783	0.772929
0.078478	0.102301	0.770520
0.079279	0.102825	0.768120
0.080080	0.103353	0.765728
0.080881	0.103886	0.763344
0.081682	0.104424	0.760968
0.082482	0.104967	0.758600
0.083283	0.105514	0.756240
0.084084	0.106066	0.753887
0.084885	0.106623	0.751543
0.085686	0.107184	0.749207
0.086486	0.107751	0.746879
0.087287	0.108322	0.744559
0.088088	0.108898	0.742246
0.088889	0.109479	0.739941
0.089690	0.110065	0.737644
0.090490	0.110656	0.735355
0.091291	0.111251	0.733073
0.092092	0.111852	0.730800
0.092893	0.112457	0.728534
0.093694	0.113067	0.726275
0.094494	0.113683	0.724024
0.095295	0.114303	0.721781
0.096096	0.114928	0.719545
0.096897	0.115558	0.717317
0.097698	0.116193	0.715097
0.098498	0.116833	0.712884
0.099299	0.117478	0.710678
0.100100	0.118128	0.708480
0.100901	0.118783	0.706289
0.101702	0.119443	0.704106
0.102503	0.120108	0.701930
0.103303	0.120778	0.699761
0.104104	0.121453	0.697600
0.104905	0.122133	0.695446
0.105706	0.122819	0.693299
0.106507	0.123509	0.691160
0.107307	0.124204	0.689027
0.108108	0.124904	0.686902
0.108909	0.125609	0.684785
0.109710	0.126319	0.682674
0.110511	0.127035	0.680570
0.111311	0.127755	0.678474
0.112112	0.128480	0.676384
0.112913	0.129211	0.674302
0.113714	0.129946	0.672226
0.114515	0.130687	0.670158
0.115315	0.131432	0.668096
0.116116	0.132183	0.666042
0.116917	0.132938	0.663994
0.117718	0.133699	0.661954
0.118519	0.134464	0.659920
0.119319	0.135235	0.657893
0.120120	0.136011	0.655873
0.120921	0.136791	0.653860
0.121722	0.137577	0.651853
0.122523	0.138367	0.649854
0.123323	0.139163	0.647861
0.124124	0.139964	0.645875
0.124925	0.140769	0.643895
0.125726	0.141579	0.641922
0.126527	0.142395	0.639956
0.127327	0.143215	0.637996
0.128128	0.144040	0.636043
0.128929	0.144871	0.634097
0.129730	0.145706	0.632157
0.130531	0.146546	0.630224
0.131331	0.147390	0.628297
0.132132	0.148240	0.626377
0.132933	0.149095	0.624463
0.133734	0.149954	0.622555
0.134535	0.150818	0.620654
0.135335	0.151687	0.618760
0.136136	0.152561	0.616872
0.136937	0.153440	0.614990
0.137738	0.154323	0.613114
0.138539	0.155211	0.611245
0.139339	0.156104	0.609382
0.140140	0.157001	0.607526
0.140941	0.157904	0.605675
0.141742	0.158810	0.603831
0.142543	0.159722	0.601993
0.143343	0.160638	0.600162
0.144144	0.161559	0.598336
0.144945	0.162484	0.596517
0.145746	0.163414	0.594703
0.146547	0.164349	0.592896
0.147347	0.165288	0.591095
0.148148	0.166231	0.589300
0.148949	0.167179	0.587511
0.149750	0.168132	0.585728
0.150551	0.169088	0.583951
0.151351	0.170050	0.582180
0.152152	0.171016	0.580415
0.152953	0.171986	0.578656
0.153754	0.172960	0.576902
0.154555	0.173939	0.575155
0.155355	0.174922	0.573414
0.156156	0.175909	0.571678
0.156957	0.176901	0.569948
0.157758	0.177896	0.568224
0.158559	0.178896	0.566506
0.159359	0.179900	0.564794
0.160160	0.180909	0.563087
0.160961	0.181921	0.561386
0.161762	0.182937	0.559691
0.162563	0.183958	0.558002
0.163363	0.184983	0.556318
0.164164	0.186011	0.554640
0.164965	0.187044	0.552967
0.165766	0.188080	0.551300
0.166567	0.189120	0.549639
0.167367	0.190165	0.547984
0.168168	0.191213	0.546333
0.168969	0.192265	0.544689
0.169770	0.193320	0.543050
0.170571	0.194380	0.541416
0.171371	0.195443	0.539788
0.172172	0.196510	0.538165
0.172973	0.197581	0.536548
0.173774	0.198655	0.534936
0.174575	0.199733	0.533330
0.175375	0.200815	0.531729
0.176176	0.201900	0.530134
0.176977	0.202989	0.528543
0.177778	0.204081	0.526959
0.178579	0.205177	0.525379
0.179379	0.206276	0.523805
0.180180	0.207379	0.522236
0.180981	0.208485	0.520672
0.181782	0.209594	0.519113
0.182583	0.210707	0.517560
0.183383	0.211823	0.516012
0.184184	0.212943	0.514469
0.184985	0.214066	0.512932
0.185786	0.215192	0.511399
0.186587	0.216321	0.509872
0.187387	0.217453	0.508349
0.188188	0.218589	0.506832
0.188989	0.219728	0.505320
0.189790	0.220870	0.503813
0.190591	0.222015	0.502311
0.191391	0.223163	0.500814
0.192192	0.224314	0.499322
0.192993	0.225469	0.497835
0.193794	0.226626	0.496353
0.194595	0.227786	0.494876
0.195395	0.228950	0.493404
0.196196	0.230116	0.491937
0.196997	0.231285	0.490475
0.197798	0.232458	0.489018
0.198599	0.233633	0.487565
0.199399	0.234811	0.486117
0.200200	0.235992	0.484675
0.201001	0.237176	0.483237
0.201802	0.238362	0.481804
0.202603	0.239552	0.480375
0.203403	0.240744	0.478952
0.204204	0.241939	0.477533
0.205005	0.243138	0.476119
0.205806	0.244338	0.474710
0.206607	0.245542	0.473305
0.207407	0.246749	0.471905
0.208208	0.247958	0.470510
0.209009	0.249170	0.469119
0.209810	0.250385	0.467734
0.210611	0.251602	0.466352
0.211411	0.252823	0.464976
0.212212	0.254046	0.463604
0.213013	0.255272	0.462236
0.213814	0.256501	0.460873
0.214615	0.257733	0.459515
0.215415	0.258967	0.458161
0.216216	0.260204	0.456812
0.217017	0.261444	0.455467
0.217818	0.262687	0.454126
0.218619	0.263933	0.452791
0.219419	0.265182	0.451459
0.220220	0.266433	0.450132
0.221021	0.267687	0.448810
0.221822	0.268945	0.447492
0.222623	0.270205	0.446178
0.223423	0.271468	0.444869
0.224224	0.272734	0.443564
0.225025	0.274003	0.442263
0.225826	0.275275	0.440967
0.226627	0.276551	0.439675
0.227427	0.277829	0.438387
0.228228	0.279110	0.437104
0.229029	0.280395	0.435825
0.229830	0.281682	0.434550
0.230631	0.282973	0.433279
0.231431	0.284267	0.432013
0.232232	0.285565	0.430751
0.233033	0.286865	0.429493
0.233834	0.288169	0.428239
0.234635	0.289477	0.426989
0.235435	0.290788	0.425744
0.236236	0.292102	0.424503
0.237037	0.293421	0.423266
0.237838	0.294742	0.422033
0.238639	0.296068	0.420804
0.239439	0.297397	0.419579
0.240240	0.298730	0.418358
0.241041	0.300067	0.417141
0.241842	0.301408	0.415929
0.242643	0.302753	0.414720
0.243443	0.304102	0.413515
0.244244	0.305455	0.412315
0.245045	0.306812	0.411118
0.245846	0.308174	0.409926
0.246647	0.309540	0.408737
0.247447	0.310911	0.407552
0.248248	0.312286	0.406371
0.249049	0.313666	0.405194
0.249850	0.315051	0.404021
0.250651	0.316441	0.402852
0.251451	0.317836	0.401687
0.252252	0.319236	0.400526
0.253053	0.320641	0.399368
0.253854	0.322051	0.398215
0.254655	0.323467	0.397065
0.255455	0.324888	0.395919
0.256256	0.326315	0.394776
0.257057	0.327748	0.393638
0.257858	0.329187	0.392503
0.258659	0.330632	0.391372
0.259459	0.332084	0.390245
0.260260	0.333541	0.389122
0.261061	0.335006	0.388002
0.261862	0.336476	0.386886
0.262663	0.337954	0.385774
0.263463	0.339439	0.384665
0.264264	0.340931	0.383560
0.265065	0.342430	0.382459
0.265866	0.343937	0.381361
0.266667	0.345452	0.380267
0.267467	0.346975	0.379177
0.268268	0.348505	0.378090
0.269069	0.350044	0.377007
0.269870	0.351592	0.375927
0.270671	0.353148	0.374851
0.271471	0.354714	0.373778
0.272272	0.356288	0.372710
0.273073	0.357872	0.371644
0.273874	0.359466	0.370582
0.274675	0.361069	0.369524
0.275475	0.362683	0.368469
0.276276	0.364308	0.367417
0.277077	0.365943	0.366369
0.277878	0.367589	0.365325
0.278679	0.369246	0.364284
0.279479	0.370915	0.363246
0.280280	0.372596	0.362212
0.281081	0.374289	0.361181
0.281882	0.375994	0.360154
0.282683	0.377713	0.359130
0.283483	0.379444	0.358109
0.284284	0.381189	0.357092
0.285085	0.382949	0.356078
0.285886	0.384722	0.355067
0.286687	0.386510	0.354060
0.287487	0.388313	0.353056
0.288288	0.390131	0.352055
0.289089	0.391966	0.351058
0.289890	0.393816	0.350064
0.290691	0.395683	0.349073
0.291491	0.397567	0.348085
0.292292	0.399469	0.347101
0.293093	0.401389	0.346120
0.293894	0.403327	0.345142
0.294695	0.405285	0.344167
0.295495	0.407261	0.343196
0.296296	0.409258	0.342227
0.297097	0.411275	0.341262
0.297898	0.413313	0.340300
0.298699	0.415373	0.339341
0.299499	0.417454	0.338386
0.300300	0.419559	0.337433
0.301101	0.421686	0.336484
0.301902	0.423837	0.335538
0.302703	0.426013	0.334594
0.303504	0.428213	0.333654
0.304304	0.430439	0.332717
0.305105	0.432690	0.331783
0.305906	0.434969	0.330852
0.306707	0.437275	0.329925
0.307508	0.439609	0.329000
0.308308	0.441971	0.328078
0.309109	0.444363	0.327159
0.309910	0.446785	0.326243
0.310711	0.449237	0.325331
0.311512	0.451720	0.324421
0.312312	0.454236	0.323514
0.313113	0.456784	0.322610
0.313914	0.459365	0.321709
0.314715	0.461980	0.320811
0.315516	0.464630	0.319916
0.316316	0.467315	0.319024
0.317117	0.470036	0.318135
0.317918	0.472794	0.317248
0.318719	0.475589	0.316365
0.319520	0.478422	0.315484
0.320320	0.481294	0.314607
0.321121	0.484206	0.313732
0.321922	0.487157	0.312860
0.322723	0.490149	0.311991
0.323524	0.493182	0.311124
0.324324	0.496258	0.310261
0.325125	0.499376	0.309400
0.325926	0.502537	0.308542
0.326727	0.505742	0.307687
0.327528	0.508991	0.306835
0.328328	0.512286	0.305985
0.329129	0.515626	0.305138
0.329930	0.519012	0.304294
0.330731	0.522444	0.303453
0.331532	0.525924	0.302614
0.332332	0.529451	0.301778
0.333133	0.533026	0.300945
0.333934	0.536649	0.300115
0.334735	0.540321	0.299287
0.335536	0.544042	0.298462
0.336336	0.547813	0.297639
0.337137	0.551633	0.296820
0.337938	0.555503	0.296003
0.338739	0.559423	0.295188
0.339540	0.563393	0.294376
0.340340	0.567413	0.293567
0.341141	0.571483	0.292760
0.341942	0.575604	0.291956
0.342743	0.579776	0.291155
0.343544	0.583997	0.290356
0.344344	0.588269	0.289560
0.345145	0.592591	0.288766
0.345946	0.596962	0.287975
0.346747	0.601382	0.287186
0.347548	0.605852	0.286400
0.348348	0.610370	0.285617
0.349149	0.614936	0.284836
0.349950	0.619550	0.284057
0.350751	0.624211	0.283282
0.351552	0.628918	0.282508
0.352352	0.633670	0.281737
0.353153	0.638468	0.280969
0.353954	0.643309	0.280203
0.354755	0.648193	0.279439
0.355556	0.653119	0.278678
0.356356	0.658086	0.277919
0.357157	0.663092	0.277163
0.357958	0.668137	0.276409
0.358759	0.673219	0.275658
0.359560	0.678336	0.274909
0.360360	0.683488	0.274162
0.361161	0.688673	0.273418
0.361962	0.693889	0.272676
0.362763	0.699135	0.271936
0.363564	0.704408	0.271199
0.364364	0.709707	0.270465
0.365165	0.715031	0.269732
0.365966	0.720376	0.269002
0.366767	0.725742	0.268274
0.367568	0.731126	0.267549
0.368368	0.736526	0.266826
0.369169	0.741940	0.266105
0.369970	0.747365	0.265387
0.370771	0.752799	0.264670
0.371572	0.758240	0.263956
0.372372	0.763685	0.263245
0.373173	0.769132	0.262535
0.373974	0.774578	0.261828
0.374775	0.780021	0.261123
0.375576	0.785458	0.260421
0.376376	0.790886	0.259720
0.377177	0.796303	0.259022
0.377978	0.801706	0.258326
0.378779	0.807091	0.257632
0.379580	0.812457	0.256941
0.380380	0.817800	0.256251
0.381181	0.823117	0.255564
0.381982	0.828406	0.254879
0.382783	0.833663	0.254196
0.383584	0.838886	0.253516
0.384384	0.844071	0.252837
0.385185	0.849216	0.252161
0.385986	0.854318	0.251486
0.386787	0.859373	0.250814
0.387588	0.864379	0.250144
0.388388	0.869333	0.249476
0.389189	0.874231	0.248810
0.389990	0.879072	0.248147
0.390791	0.883851	0.247485
0.391592	0.888566	0.246826
0.392392	0.893215	0.246168
0.393193	0.897795	0.245513
0.393994	0.902301	0.244859
0.394795	0.906733	0.244208
0.395596	0.911087	0.243559
0.396396	0.915361	0.242912
0.397197	0.919552	0.242266
0.397998	0.923657	0.241623
0.398799	0.927675	0.240982
0.399600	0.931602	0.240343
0.400400	0.935436	0.239706
0.401201	0.939176	0.239071
0.402002	0.942818	0.238438
0.402803	0.946361	0.237806
0.403604	0.949803	0.237177
0.404404	0.953142	0.236550
0.405205	0.956376	0.235925
0.406006	0.959503	0.235301
0.406807	0.962522	0.234680
0.407608	0.965431	0.234060
0.408408	0.968229	0.233443
0.409209	0.970913	0.232827
0.410010	0.973484	0.232213
0.410811	0.975939	0.231602
0.411612	0.978279	0.230992
0.412412	0.980501	0.230384
0.413213	0.982605	0.229777
0.414014	0.984590	0.229173
0.414815	0.986455	0.228571
0.415616	0.988201	0.227970
0.416416	0.989826	0.227372
0.417217	0.991331	0.226775
0.418018	0.992715	0.226180
0.418819	0.993977	0.225587
0.419620	0.995119	0.224995
0.420420	0.996140	0.224406
0.421221	0.997040	0.223818
0.422022	0.997819	0.223232
0.422823	0.998479	0.222648
0.423624	0.999019	0.222066
0.424424	0.999441	0.221485
0.425225	0.999744	0.220907
0.426026	0.999930	0.220330
0.426827	1.000000	0.219755
0.427628	0.999954	0.219181
0.428428	0.999794	0.218610
0.429229	0.999521	0.218040
0.430030	0.999136	0.217472
0.430831	0.998641	0.216905
0.431632	0.998036	0.216340
0.432432	0.997323	0.215777
0.433233	0.996505	0.215216
0.434034	0.995581	0.214657
0.434835	0.994555	0.214099
0.435636	0.993428	0.213543
0.436436	0.992201	0.212988
0.437237	0.990876	0.212435
0.438038	0.989456	0.211884
0.438839	0.987942	0.211335
0.439640	0.986336	0.210787
0.440440	0.984641	0.210241
0.441241	0.982857	0.209697
0.442042	0.980988	0.209154
0.442843	0.979035	0.208613
0.443644	0.977000	0.208073
0.444444	0.974886	0.207535
0.445245	0.972694	0.206999
0.446046	0.970428	0.206464
0.446847	0.968088	0.205931
0.447648	0.965677	0.205400
0.448448	0.963197	0.204870
0.449249	0.960651	0.204342
0.450050	0.958040	0.203815
0.450851	0.955367	0.203290
0.451652	0.952634	0.202766
0.452452	0.949842	0.202244
0.453253	0.946994	0.201724
0.454054	0.944092	0.201205
0.454855	0.941139	0.200688
0.455656	0.938135	0.200172
0.456456	0.935083	0.199658
0.457257	0.931984	0.199145
0.458058	0.928842	0.198634
0.458859	0.925657	0.198124
0.459660	0.922432	0.197616
0.460460	0.919168	0.197109
0.461261	0.915866	0.196604
0.462062	0.912530	0.196100
0.462863	0.909160	0.195598
0.463664	0.905757	0.195098
0.464464	0.902325	0.194598
0.465265	0.898863	0.194101
0.466066	0.895374	0.193604
0.466867	0.891858	0.193110
0.467668	0.888318	0.192616
0.468468	0.884754	0.192124
0.469269	0.881168	0.191634
0.470070	0.877562	0.191145
0.470871	0.873935	0.190657
0.471672	0.870290	0.190171
0.472472	0.866627	0.189687
0.473273	0.862947	0.189203
0.474074	0.859252	0.188721
0.474875	0.855542	0.188241
0.475676	0.851818	0.187762
0.476476	0.848081	0.187284
0.477277	0.844332	0.186808
0.478078	0.840571	0.186333
0.478879	0.836799	0.185859
