x	y
0.800000	0.060052
0.800200	0.060144
0.800400	0.060237
0.800601	0.060331
0.800801	0.060425
0.801001	0.060521
0.801201	0.060617
0.801401	0.060714
0.801602	0.060812
0.801802	0.060911
0.802002	0.061011
0.802202	0.061112
0.802402	0.061213
0.802603	0.061316
0.802803	0.061419
0.803003	0.061524
0.803203	0.061629
0.803403	0.061736
0.803604	0.061843
0.803804	0.061951
0.804004	0.062060
0.804204	0.062171
0.804404	0.062282
0.804605	0.062394
0.804805	0.062507
0.805005	0.062622
0.805205	0.062737
0.805405	0.062853
0.805606	0.062971
0.805806	0.063089
0.806006	0.063209
0.806206	0.063329
0.806406	0.063451
0.806607	0.063574
0.806807	0.063698
0.807007	0.063823
0.807207	0.063949
0.807407	0.064076
0.807608	0.064204
0.807808	0.064334
0.808008	0.064465
0.808208	0.064596
0.808408	0.064730
0.808609	0.064864
0.808809	0.064999
0.809009	0.065136
0.809209	0.065274
0.809409	0.065413
0.809610	0.065553
0.809810	0.065695
0.810010	0.065838
0.810210	0.065982
0.810410	0.066128
0.810611	0.066275
0.810811	0.066423
0.811011	0.066572
0.811211	0.066723
0.811411	0.066875
0.811612	0.067028
0.811812	0.067183
0.812012	0.067340
0.812212	0.067497
0.812412	0.067656
0.812613	0.067817
0.812813	0.067979
0.813013	0.068142
0.813213	0.068307
0.813413	0.068473
0.813614	0.068641
0.813814	0.068810
0.814014	0.068981
0.814214	0.069153
0.814414	0.069327
0.814615	0.069502
0.814815	0.069679
0.815015	0.069858
0.815215	0.070038
0.815415	0.070219
0.815616	0.070403
0.815816	0.070588
0.816016	0.070774
0.816216	0.070962
0.816416	0.071152
0.816617	0.071344
0.816817	0.071537
0.817017	0.071732
0.817217	0.071929
0.817417	0.072127
0.817618	0.072327
0.817818	0.072529
0.818018	0.072733
0.818218	0.072939
0.818418	0.073146
0.818619	0.073355
0.818819	0.073566
0.819019	0.073779
0.819219	0.073994
0.819419	0.074211
0.819620	0.074429
0.819820	0.074650
0.820020	0.074872
0.820220	0.075096
0.820420	0.075323
0.820621	0.075551
0.820821	0.075782
0.821021	0.076014
0.821221	0.076248
0.821421	0.076485
0.821622	0.076723
0.821822	0.076964
0.822022	0.077207
0.822222	0.077452
0.822422	0.077699
0.822623	0.077948
0.822823	0.078199
0.823023	0.078453
0.823223	0.078708
0.823423	0.078966
0.823624	0.079227
0.823824	0.079489
0.824024	0.079754
0.824224	0.080021
0.824424	0.080290
0.824625	0.080562
0.824825	0.080836
0.825025	0.081113
0.825225	0.081392
0.825425	0.081673
0.825626	0.081957
0.825826	0.082243
0.826026	0.082532
0.826226	0.082823
0.826426	0.083117
0.826627	0.083413
0.826827	0.083712
0.827027	0.084013
0.827227	0.084317
0.827427	0.084624
0.827628	0.084933
0.827828	0.085245
0.828028	0.085559
0.828228	0.085877
0.828428	0.086197
0.828629	0.086520
0.828829	0.086845
0.829029	0.087173
0.829229	0.087505
0.829429	0.087839
0.829630	0.088175
0.829830	0.088515
0.830030	0.088858
0.830230	0.089203
0.830430	0.089552
0.830631	0.089903
0.830831	0.090258
0.831031	0.090615
0.831231	0.090976
0.831431	0.091339
0.831632	0.091706
0.831832	0.092076
0.832032	0.092449
0.832232	0.092825
0.832432	0.093204
0.832633	0.093586
0.832833	0.093972
0.833033	0.094361
0.833233	0.094753
0.833433	0.095149
0.833634	0.095548
0.833834	0.095950
0.834034	0.096356
0.834234	0.096765
0.834434	0.097177
0.834635	0.097593
0.834835	0.098012
0.835035	0.098435
0.835235	0.098862
0.835435	0.099292
0.835636	0.099725
0.835836	0.100162
0.836036	0.100603
0.836236	0.101048
0.836436	0.101496
0.836637	0.101948
0.836837	0.102404
0.837037	0.102863
0.837237	0.103326
0.837437	0.103793
0.837638	0.104264
0.837838	0.104739
0.838038	0.105218
0.838238	0.105701
0.838438	0.106187
0.838639	0.106678
0.838839	0.107173
0.839039	0.107671
0.839239	0.108174
0.839439	0.108681
0.839640	0.109192
0.839840	0.109707
0.840040	0.110227
0.840240	0.110751
0.840440	0.111279
0.840641	0.111811
0.840841	0.112347
0.841041	0.112888
0.841241	0.113434
0.841441	0.113983
0.841642	0.114537
0.841842	0.115096
0.842042	0.115659
0.842242	0.116227
0.842442	0.116799
0.842643	0.117376
0.842843	0.117957
0.843043	0.118543
0.843243	0.119134
0.843443	0.119729
0.843644	0.120330
0.843844	0.120935
0.844044	0.121544
0.844244	0.122159
0.844444	0.122778
0.844645	0.123403
0.844845	0.124032
0.845045	0.124666
0.845245	0.125306
0.845445	0.125950
0.845646	0.126599
0.845846	0.127254
0.846046	0.127914
0.846246	0.128578
0.846446	0.129248
0.846647	0.129923
0.846847	0.130604
0.847047	0.131290
0.847247	0.131981
0.847447	0.132677
0.847648	0.133379
0.847848	0.134086
0.848048	0.134798
0.848248	0.135517
0.848448	0.136240
0.848649	0.136969
0.848849	0.137704
0.849049	0.138445
0.849249	0.139191
0.849449	0.139942
0.849650	0.140700
0.849850	0.141463
0.850050	0.142232
0.850250	0.143006
0.850450	0.143787
0.850651	0.144573
0.850851	0.145366
0.851051	0.146164
0.851251	0.146968
0.851451	0.147779
0.851652	0.148595
0.851852	0.149417
0.852052	0.150246
0.852252	0.151080
0.852452	0.151921
0.852653	0.152768
0.852853	0.153622
0.853053	0.154481
0.853253	0.155347
0.853453	0.156219
0.853654	0.157098
0.853854	0.157982
0.854054	0.158874
0.854254	0.159772
0.854454	0.160676
0.854655	0.161587
0.854855	0.162504
0.855055	0.163428
0.855255	0.164359
0.855455	0.165296
0.855656	0.166240
0.855856	0.167190
0.856056	0.168148
0.856256	0.169112
0.856456	0.170083
0.856657	0.171061
0.856857	0.172046
0.857057	0.173037
0.857257	0.174036
0.857457	0.175041
0.857658	0.176054
0.857858	0.177073
0.858058	0.178100
0.858258	0.179133
0.858458	0.180174
0.858659	0.181222
0.858859	0.182277
0.859059	0.183339
0.859259	0.184409
0.859459	0.185485
0.859660	0.186569
0.859860	0.187661
0.860060	0.188759
0.860260	0.189865
0.860460	0.190979
0.860661	0.192099
0.860861	0.193228
0.861061	0.194363
0.861261	0.195507
0.861461	0.196657
0.861662	0.197816
0.861862	0.198981
0.862062	0.200155
0.862262	0.201336
0.862462	0.202525
0.862663	0.203721
0.862863	0.204925
0.863063	0.206137
0.863263	0.207356
0.863463	0.208584
0.863664	0.209819
0.863864	0.211061
0.864064	0.212312
0.864264	0.213571
0.864464	0.214837
0.864665	0.216111
0.864865	0.217393
0.865065	0.218683
0.865265	0.219981
0.865465	0.221287
0.865666	0.222601
0.865866	0.223923
0.866066	0.225253
0.866266	0.226591
0.866466	0.227937
0.866667	0.229291
0.866867	0.230653
0.867067	0.232023
0.867267	0.233401
